Category,Disease,Ranked_Proteins
Infections,Infection_of_skin_and_subcutaneous_tissues,"NBN, CDKN1A, LMNB1, PNLIPRP2, IL6, PSMD1, COL4A1, SFTPD, TBL1X, GSTA1, FGF21, PSME1, VIM, SCP2, PDE5A, VPS28, PSMD9, INPPL1, CDC27, COL9A1, BHLHE40, MMP9, CHCHD10, HMOX1, COL2A1"
Infections,Infections_of_the_digestive_system,"VIM, COL4A1, COL2A1, PGA4, FGF21, PNLIP, VWF, FOXO3, IGFBP1, FABP1, TBL1X, AKT2, APP, KIF22, LEP, FLI1, PNLIPRP2, LYN, CEACAM6, TWF2, APOA2, SFTPD, LMNB1, PARK7, PDLIM5"
Infections,Lower_Respiratory_Tract_Infections,"TBL1X, VIM, SFTPD, PSMD1, IL6, PNLIPRP2, SRC, LMNB1, CDKN1A, CEACAM6, NBN, PNLIP, COL4A1, PARK7, DCTN2, TPMT, VAV3, SKAP2, PSMD5, PSMA1, STAT5B, SMAD3, HBEGF, SNCA, GH1"
Infections,Mycoses,"CEACAM6, SRC, LYN, VIM, PNLIPRP2, TBL1X, LEP, GSTA1, CDKN1A, CHIT1, SERPINE1, PTPN6, FURIN, PSMD1, CDC26, SLC16A1, PARK7, STAT5B, TERF1, TNNI3, FGF21, TPR, ITGA2, RAD51, NID2"
Infections,Septicaemia,"FGF2, PNLIPRP2, GSTA1, LEP, COL4A1, PTPN6, APP, EPO, CEACAM8, COL1A1, SPARC, VPS37A, SAP18, BMP4, CEACAM6, LYN, ATF2, LTBP2, SPP1, SLC16A1, CDKN1A, GFAP, IL6, GGT1, SIRT1"
Infections,Urinary_Tract_Infections,"GFAP, CDKN1A, SERPINE1, VIM, COL4A1, PNLIPRP2, SHC1, FOXO3, RUVBL1, COL2A1, JCHAIN, LEP, LYN, CA6, CDH2, POLR2F, PSMD5, VPS37A, PSME2, TBL1X, AKT2, ITGAV, SRC, PGA4, COL9A1"
Infections,Viral_diseases,"TBL1X, NBN, PNLIPRP2, NAMPT, RPA2, VIM, GSTA1, LYN, PXN, BHLHE40, LMNB1, PSMD1, PARK7, SRC, NCK2, CASP4, SMC3, FGF21, F7, PDLIM5, ATF2, GFER, VWF, PDE5A, CHIT1"
Musculoskeletal,Carpal_tunnel_syndrome,"PSMD1, SULT1A1, PSMD5, TBL1X, SRC, PNLIPRP2, SERPINE1, TOMM20, LEP, PSMD9, FGF21, HMOX1, IGFBP1, GUSB, CDC27, NBN, CHIT1, MSR1, LMNB1, KLK3, SFTPD, GSTA1, YAP1, VIM, PSME2"
Musculoskeletal,Enthesopathies_and_synovial_disorders,"LMNB1, SRC, TBL1X, SERPINE1, GSTA1, SMC3, MYH9, PNLIPRP2, VIM, SULT1A1, NBN, HSPA2, PSME2, PSME1, PTPN6, VPS37A, BHLHE40, VPS28, CHIT1, SMAD3, PDE5A, RAD51, PNLIPRP1, ANXA2, ITGB5"
Musculoskeletal,Fracture_of_hip,"VIM, PSMA1, PNLIPRP2, TRIM25, LYN, SRC, SERPINE1, NBN, TBL1X, VWF, MYH9, CHIT1, PTPN6, ATF2, TPR, APP, PDLIM5, TP53BP1, GP6, HMOX1, TOMM20, COL4A1, SMC3, SAP18, FKBP1B"
Musculoskeletal,Fracture_of_wrist,"CGA, PSMA1, PSMD1, KLK3, STAT5B, APOE, PSME1, SMAD2, APOA2, LEP, PNLIPRP2, GUSB, CA6, LPL, SRC, NBN, GSTP1, ATP6V1G2, AKT2, CASP3, SULT1A1, RAD51, CEACAM8, HRAS, ATP6V1G1"
Musculoskeletal,Gout,"KLK3, SHC1, FGF2, GGT1, CDKN1A, FGF21, LYN, HRAS, SRC, PSMD9, ACY1, VIM, FN1, PNLIPRP2, SERPINE1, TBL1X, SULT1A1, MYH9, GP1BB, ITGA2, DKK1, FABP1, COL6A3, ITGB1, ITGA6"
